反復回数n,x1,f(x1)
382,0.382000,-1.89025561
383,0.383000,-1.88726799
384,0.384000,-1.88428625
385,0.385000,-1.88131038
386,0.386000,-1.87834032
387,0.387000,-1.87537605
388,0.388000,-1.87241753
389,0.389000,-1.86946472
390,0.390000,-1.86651760
391,0.391000,-1.86357613
392,0.392000,-1.86064027
393,0.393000,-1.85771000
394,0.394000,-1.85478528
395,0.395000,-1.85186608
396,0.396000,-1.84895236
397,0.397000,-1.84604410
398,0.398000,-1.84314126
399,0.399000,-1.84024381
400,0.400000,-1.83735173
401,0.401000,-1.83446497
402,0.402000,-1.83158351
403,0.403000,-1.82870731
404,0.404000,-1.82583636
405,0.405000,-1.82297061
406,0.406000,-1.82011004
407,0.407000,-1.81725462
408,0.408000,-1.81440431
409,0.409000,-1.81155910
410,0.410000,-1.80871894
411,0.411000,-1.80588382
412,0.412000,-1.80305370
413,0.413000,-1.80022856
414,0.414000,-1.79740836
415,0.415000,-1.79459308
416,0.416000,-1.79178269
417,0.417000,-1.78897717
418,0.418000,-1.78617648
419,0.419000,-1.78338060
420,0.420000,-1.78058951
421,0.421000,-1.77780317
422,0.422000,-1.77502156
423,0.423000,-1.77224465
424,0.424000,-1.76947242
425,0.425000,-1.76670484
426,0.426000,-1.76394189
427,0.427000,-1.76118354
428,0.428000,-1.75842976
429,0.429000,-1.75568053
430,0.430000,-1.75293582
431,0.431000,-1.75019561
432,0.432000,-1.74745988
433,0.433000,-1.74472860
434,0.434000,-1.74200174
435,0.435000,-1.73927929
436,0.436000,-1.73656121
437,0.437000,-1.73384749
438,0.438000,-1.73113810
439,0.439000,-1.72843302
440,0.440000,-1.72573222
441,0.441000,-1.72303567
442,0.442000,-1.72034337
443,0.443000,-1.71765528
444,0.444000,-1.71497139
445,0.445000,-1.71229166
446,0.446000,-1.70961608
447,0.447000,-1.70694463
448,0.448000,-1.70427728
449,0.449000,-1.70161401
450,0.450000,-1.69895480
451,0.451000,-1.69629963
452,0.452000,-1.69364847
453,0.453000,-1.69100131
454,0.454000,-1.68835812
455,0.455000,-1.68571889
456,0.456000,-1.68308359
457,0.457000,-1.68045220
458,0.458000,-1.67782470
459,0.459000,-1.67520107
460,0.460000,-1.67258129
461,0.461000,-1.66996534
462,0.462000,-1.66735320
463,0.463000,-1.66474485
464,0.464000,-1.66214027
465,0.465000,-1.65953944
466,0.466000,-1.65694234
467,0.467000,-1.65434895
468,0.468000,-1.65175926
469,0.469000,-1.64917324
470,0.470000,-1.64659087
471,0.471000,-1.64401214
472,0.472000,-1.64143703
473,0.473000,-1.63886551
474,0.474000,-1.63629757
475,0.475000,-1.63373320
476,0.476000,-1.63117236
477,0.477000,-1.62861505
478,0.478000,-1.62606125
479,0.479000,-1.62351094
480,0.480000,-1.62096410
481,0.481000,-1.61842071
482,0.482000,-1.61588076
483,0.483000,-1.61334422
484,0.484000,-1.61081109
485,0.485000,-1.60828134
486,0.486000,-1.60575495
487,0.487000,-1.60323192
488,0.488000,-1.60071222
489,0.489000,-1.59819583
490,0.490000,-1.59568275
491,0.491000,-1.59317294
492,0.492000,-1.59066641
493,0.493000,-1.58816312
494,0.494000,-1.58566306
495,0.495000,-1.58316623
496,0.496000,-1.58067259
497,0.497000,-1.57818214
498,0.498000,-1.57569486
499,0.499000,-1.57321073
500,0.500000,-1.57072974
501,0.501000,-1.56825188
502,0.502000,-1.56577712
503,0.503000,-1.56330545
504,0.504000,-1.56083686
505,0.505000,-1.55837132
